timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1506794884208,828,HTTP Request,200,,Thread Group 1-3,text,true,,320,198,18,18,827,0,1
1506794884104,1448,HTTP Request,200,,Thread Group 1-1,text,true,,320,198,27,27,1448,0,75
1506794884143,1433,HTTP Request,200,,Thread Group 1-2,text,true,,320,198,26,26,1433,0,19
1506794884245,1337,HTTP Request,200,,Thread Group 1-4,text,true,,320,198,26,26,1337,0,0
1506794884406,1471,HTTP Request,200,,Thread Group 1-7,text,true,,320,198,30,30,1471,0,0
1506794884367,1530,HTTP Request,200,,Thread Group 1-6,text,true,,320,198,29,29,1530,0,10
1506794884456,1447,HTTP Request,200,,Thread Group 1-8,text,true,,320,198,28,28,1447,0,1
1506794884294,1611,HTTP Request,200,,Thread Group 1-5,text,true,,320,198,27,27,1611,0,1
1506794884558,1776,HTTP Request,200,,Thread Group 1-10,text,true,,320,198,33,33,1776,0,0
1506794884613,1739,HTTP Request,200,,Thread Group 1-11,text,true,,320,198,33,33,1739,0,0
1506794884508,1915,HTTP Request,200,,Thread Group 1-9,text,true,,320,194,33,33,1915,0,1
1506794884663,1871,HTTP Request,200,,Thread Group 1-12,text,true,,320,198,34,34,1871,0,0
1506794884714,1919,HTTP Request,200,,Thread Group 1-13,text,true,,320,198,34,34,1919,0,1
1506794884771,2117,HTTP Request,200,,Thread Group 1-14,text,true,,320,198,38,38,2117,0,1
1506794884827,2363,HTTP Request,200,,Thread Group 1-15,text,true,,320,198,42,42,2363,0,0
1506794884939,2270,HTTP Request,200,,Thread Group 1-17,text,true,,320,198,42,42,2270,0,0
1506794884877,2392,HTTP Request,200,,Thread Group 1-16,text,true,,320,198,42,42,2392,0,1
1506794885094,2464,HTTP Request,200,,Thread Group 1-20,text,true,,320,198,46,46,2464,0,1
1506794884989,2772,HTTP Request,200,,Thread Group 1-18,text,true,,320,194,48,48,2772,0,1
1506794885041,2863,HTTP Request,200,,Thread Group 1-19,text,true,,320,198,50,50,2863,0,0
1506794885147,3154,HTTP Request,200,,Thread Group 1-21,text,true,,320,198,56,56,3153,0,0
1506794885298,3046,HTTP Request,200,,Thread Group 1-24,text,true,,320,198,56,56,3046,0,0
1506794885642,2834,HTTP Request,200,,Thread Group 1-30,text,true,,320,198,58,58,2834,0,1
1506794885197,3295,HTTP Request,200,,Thread Group 1-22,text,true,,320,198,57,57,3295,0,1
1506794885460,3147,HTTP Request,200,,Thread Group 1-27,text,true,,320,198,58,58,3147,0,1
1506794885248,3420,HTTP Request,200,,Thread Group 1-23,text,true,,320,198,58,58,3420,0,1
1506794885399,3483,HTTP Request,200,,Thread Group 1-26,text,true,,320,198,61,61,3483,0,1
1506794886091,2856,HTTP Request,200,,Thread Group 1-38,text,true,,320,198,62,62,2856,0,0
1506794885714,3474,HTTP Request,200,,Thread Group 1-31,text,true,,320,198,65,65,3474,0,0
1506794885983,3273,HTTP Request,200,,Thread Group 1-36,text,true,,320,198,65,65,3273,0,0
1506794885580,3767,HTTP Request,200,,Thread Group 1-29,text,true,,320,198,66,66,3767,0,1
1506794885524,4004,HTTP Request,200,,Thread Group 1-28,text,true,,320,198,69,69,4004,0,1
1506794885929,3637,HTTP Request,200,,Thread Group 1-35,text,true,,320,198,68,68,3637,0,1
1506794886208,3427,HTTP Request,200,,Thread Group 1-40,text,true,,320,198,67,67,3427,0,1
1506794886036,3673,HTTP Request,200,,Thread Group 1-37,text,true,,320,198,66,66,3673,0,1
1506794886295,3461,HTTP Request,200,,Thread Group 1-41,text,true,,320,194,65,65,3461,0,0
1506794887420,2344,HTTP Request,200,,Thread Group 1-61,text,true,,320,198,64,64,2344,0,0
1506794886398,4200,HTTP Request,200,,Thread Group 1-43,text,true,,320,198,63,63,4200,0,0
1506794886145,4458,HTTP Request,200,,Thread Group 1-39,text,true,,320,198,62,62,4458,0,0
1506794886345,4459,HTTP Request,200,,Thread Group 1-42,text,true,,320,198,61,61,4459,0,0
1506794886850,4436,HTTP Request,200,,Thread Group 1-51,text,true,,320,198,60,60,4436,0,1
1506794885874,5423,HTTP Request,200,,Thread Group 1-34,text,true,,320,194,59,59,5423,0,0
1506794885766,5535,HTTP Request,200,,Thread Group 1-32,text,true,,320,198,58,58,5535,0,1
1506794887004,4309,HTTP Request,200,,Thread Group 1-54,text,true,,320,194,57,57,4309,0,0
1506794885349,5967,HTTP Request,200,,Thread Group 1-25,text,true,,320,198,56,56,5967,0,0
1506794885821,5519,HTTP Request,200,,Thread Group 1-33,text,true,,320,194,55,55,5519,0,0
1506794886639,4720,HTTP Request,200,,Thread Group 1-47,text,true,,320,198,54,54,4720,0,1
1506794887006,4377,HTTP Request,200,,Thread Group 1-53,text,true,,320,198,53,53,4377,0,1
1506794886689,4701,HTTP Request,200,,Thread Group 1-48,text,true,,320,198,52,52,4700,0,1
1506794886466,4970,HTTP Request,200,,Thread Group 1-44,text,true,,320,198,51,51,4970,0,1
1506794886901,4584,HTTP Request,200,,Thread Group 1-52,text,true,,320,198,50,50,4584,0,1
1506794886563,4967,HTTP Request,200,,Thread Group 1-46,text,true,,320,194,49,49,4967,0,0
1506794887821,3790,HTTP Request,200,,Thread Group 1-68,text,true,,320,198,48,48,3790,0,1
1506794887059,4557,HTTP Request,200,,Thread Group 1-55,text,true,,320,198,47,47,4557,0,1
1506794886801,4840,HTTP Request,200,,Thread Group 1-50,text,true,,320,198,46,46,4840,0,1
1506794887525,4120,HTTP Request,200,,Thread Group 1-63,text,true,,320,198,45,45,4120,0,1
1506794887257,4390,HTTP Request,200,,Thread Group 1-58,text,true,,320,198,44,44,4390,0,0
1506794887586,4062,HTTP Request,200,,Thread Group 1-64,text,true,,320,198,43,43,4062,0,1
1506794887372,4277,HTTP Request,200,,Thread Group 1-60,text,true,,320,198,42,42,4277,0,0
1506794886511,5145,HTTP Request,200,,Thread Group 1-45,text,true,,320,198,41,41,5145,0,1
1506794886742,4928,HTTP Request,200,,Thread Group 1-49,text,true,,320,198,40,40,4928,0,0
1506794887711,3975,HTTP Request,200,,Thread Group 1-66,text,true,,320,198,39,39,3975,0,0
1506794887649,4470,HTTP Request,200,,Thread Group 1-65,text,true,,320,198,38,38,4469,0,0
1506794887932,4190,HTTP Request,200,,Thread Group 1-70,text,true,,320,198,37,37,4190,0,1
1506794887767,4360,HTTP Request,200,,Thread Group 1-67,text,true,,320,198,36,36,4360,0,0
1506794887982,4164,HTTP Request,200,,Thread Group 1-71,text,true,,320,198,35,35,4164,0,1
1506794888575,3581,HTTP Request,200,,Thread Group 1-82,text,true,,320,198,34,34,3581,0,0
1506794888473,3700,HTTP Request,200,,Thread Group 1-80,text,true,,320,194,33,33,3700,0,1
1506794888416,3893,HTTP Request,200,,Thread Group 1-79,text,true,,320,198,32,32,3893,0,1
1506794888634,3739,HTTP Request,200,,Thread Group 1-83,text,true,,320,198,31,31,3739,0,1
1506794888308,4071,HTTP Request,200,,Thread Group 1-77,text,true,,320,198,30,30,4071,0,1
1506794888368,4024,HTTP Request,200,,Thread Group 1-78,text,true,,320,198,29,29,4024,0,1
1506794888840,3555,HTTP Request,200,,Thread Group 1-87,text,true,,320,198,28,28,3555,0,1
1506794889163,3305,HTTP Request,200,,Thread Group 1-93,text,true,,320,198,27,27,3305,0,1
1506794888099,4375,HTTP Request,200,,Thread Group 1-73,text,true,,320,198,26,26,4375,0,0
1506794888524,3970,HTTP Request,200,,Thread Group 1-81,text,true,,320,198,25,25,3970,0,1
1506794887472,5026,HTTP Request,200,,Thread Group 1-62,text,true,,320,198,24,24,5026,0,1
1506794888735,3764,HTTP Request,200,,Thread Group 1-85,text,true,,320,198,23,23,3764,0,1
1506794887307,5420,HTTP Request,200,,Thread Group 1-59,text,true,,320,198,22,22,5420,0,0
1506794889519,3209,HTTP Request,200,,Thread Group 1-100,text,true,,320,198,21,21,3209,0,1
1506794889212,3517,HTTP Request,200,,Thread Group 1-94,text,true,,320,198,20,20,3516,0,1
1506794888788,3941,HTTP Request,200,,Thread Group 1-86,text,true,,320,198,19,19,3941,0,1
1506794889261,3470,HTTP Request,200,,Thread Group 1-95,text,true,,320,198,18,18,3470,0,1
1506794889047,3686,HTTP Request,200,,Thread Group 1-91,text,true,,320,198,17,17,3685,0,0
1506794888939,3834,HTTP Request,200,,Thread Group 1-89,text,true,,320,198,16,16,3834,0,0
1506794887877,4899,HTTP Request,200,,Thread Group 1-69,text,true,,320,194,15,15,4898,0,1
1506794889101,3679,HTTP Request,200,,Thread Group 1-92,text,true,,320,198,14,14,3679,0,0
1506794888037,4745,HTTP Request,200,,Thread Group 1-72,text,true,,320,198,13,13,4745,0,0
1506794888206,4577,HTTP Request,200,,Thread Group 1-75,text,true,,320,194,12,12,4577,0,1
1506794888256,4528,HTTP Request,200,,Thread Group 1-76,text,true,,320,194,11,11,4528,0,1
1506794887140,5646,HTTP Request,200,,Thread Group 1-56,text,true,,320,198,10,10,5646,0,0
1506794887197,5592,HTTP Request,200,,Thread Group 1-57,text,true,,320,198,9,9,5592,0,1
1506794888997,3793,HTTP Request,200,,Thread Group 1-90,text,true,,320,198,8,8,3793,0,0
1506794889412,3382,HTTP Request,200,,Thread Group 1-98,text,true,,320,198,7,7,3382,0,1
1506794889363,3451,HTTP Request,200,,Thread Group 1-97,text,true,,320,198,6,6,3451,0,0
1506794889312,3503,HTTP Request,200,,Thread Group 1-96,text,true,,320,198,5,5,3503,0,1
1506794888151,4705,HTTP Request,200,,Thread Group 1-74,text,true,,320,194,4,4,4705,0,0
1506794888889,3978,HTTP Request,200,,Thread Group 1-88,text,true,,320,198,3,3,3978,0,1
1506794888683,4187,HTTP Request,200,,Thread Group 1-84,text,true,,320,194,2,2,4187,0,1
1506794889478,3452,HTTP Request,200,,Thread Group 1-99,text,true,,320,198,1,1,3452,0,0
